BaseAddr,ModuleName
0x7ff664e60000,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe"
0x7fff03140000,"C:\WINDOWS\SYSTEM32\ntdll.dll"
0x7fff01e60000,"C:\WINDOWS\SYSTEM32\KERNEL32.DLL"
0x7fff00570000,"C:\WINDOWS\SYSTEM32\KERNELBASE.dll"
0x7fff00c00000,"C:\WINDOWS\SYSTEM32\CRYPT32.dll"
0x7fff00970000,"C:\WINDOWS\SYSTEM32\WINTRUST.dll"
0x7fff012b0000,"C:\WINDOWS\SYSTEM32\ADVAPI32.dll"
0x7fff00ab0000,"C:\WINDOWS\SYSTEM32\ucrtbase.dll"
0x7fff00f90000,"C:\WINDOWS\SYSTEM32\msvcrt.dll"
0x7fff01450000,"C:\WINDOWS\SYSTEM32\RPCRT4.dll"
0x7fff00ee0000,"C:\WINDOWS\SYSTEM32\sechost.dll"
0x7ffeffa20000,"C:\WINDOWS\SYSTEM32\MSASN1.dll"
0x7ffef92a0000,"C:\WINDOWS\system32\version.dll"
0x7ffee11f0000,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\mpsvc.dll"
0x7ffee0f60000,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpClient.dll"
0x7ffee0d80000,"C:\WINDOWS\SYSTEM32\urlmon.dll"
0x7fff002c0000,"C:\WINDOWS\SYSTEM32\bcrypt.dll"
0x7ffef9500000,"C:\WINDOWS\SYSTEM32\MPR.dll"
0x7ffeff780000,"C:\WINDOWS\SYSTEM32\USERENV.dll"
0x7ffefdfd0000,"C:\WINDOWS\SYSTEM32\windows.storage.dll"
0x7fff02410000,"C:\WINDOWS\SYSTEM32\SHELL32.dll"
0x7ffee0a70000,"C:\WINDOWS\SYSTEM32\iertutil.dll"
0x7fff01670000,"C:\WINDOWS\SYSTEM32\combase.dll"
0x7fff003d0000,"C:\WINDOWS\SYSTEM32\msvcp_win.dll"
0x7fff02d10000,"C:\WINDOWS\SYSTEM32\USER32.dll"
0x7fff00eb0000,"C:\WINDOWS\SYSTEM32\GDI32.dll"
0x7ffee0790000,"C:\WINDOWS\SYSTEM32\srvcli.dll"
0x7ffefeb50000,"C:\WINDOWS\SYSTEM32\netutils.dll"
0x7fff00480000,"C:\WINDOWS\SYSTEM32\win32u.dll"
0x7fff00d80000,"C:\WINDOWS\SYSTEM32\gdi32full.dll"
0x7ffefffc0000,"C:\WINDOWS\SYSTEM32\DPAPI.DLL"
0x7ffeff400000,"C:\WINDOWS\SYSTEM32\sspicli.dll"
0x7ffeff740000,"C:\WINDOWS\SYSTEM32\gpapi.dll"
0x7fff01570000,"C:\WINDOWS\SYSTEM32\shcore.dll"
0x7ffefe900000,"C:\WINDOWS\SYSTEM32\SLC.dll"
0x7fff01110000,"C:\WINDOWS\SYSTEM32\ole32.dll"
0x7ffeff160000,"C:\WINDOWS\SYSTEM32\kernel.appcore.dll"
0x7ffeff280000,"C:\WINDOWS\SYSTEM32\ntmarta.dll"
0x7ffee23b0000,"C:\WINDOWS\SYSTEM32\windows.staterepositorycore.dll"
0x7fff00a00000,"C:\WINDOWS\SYSTEM32\bcryptPrimitives.dll"
0x7fff01390000,"C:\WINDOWS\SYSTEM32\clbcatq.dll"
0x7fff01a00000,"C:\WINDOWS\SYSTEM32\OLEAUT32.dll"
0x7fff01b60000,"C:\WINDOWS\system32\ws2_32.dll"
0x7ffeeedd0000,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpCommu.dll"
0x7fff00250000,"C:\WINDOWS\SYSTEM32\powrprof.dll"
0x7fff00230000,"C:\WINDOWS\SYSTEM32\UMPDC.dll"
0x7ffeeec90000,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\mprtp.dll"
0x7ffef5700000,"C:\WINDOWS\SYSTEM32\FLTLIB.DLL"
0x7ffef7fe0000,"C:\WINDOWS\system32\fwpuclnt.dll"
0x7ffefe9c0000,"C:\WINDOWS\system32\firewallapi.dll"
0x7ffefe930000,"C:\WINDOWS\system32\fwbase.dll"
0x7ffeeda70000,"C:\WINDOWS\system32\wofutil.dll"
0x7fff01f80000,"C:\WINDOWS\SYSTEM32\SETUPAPI.dll"
0x7ffefff10000,"C:\WINDOWS\SYSTEM32\DEVOBJ.dll"
0x7ffefff60000,"C:\WINDOWS\SYSTEM32\cfgmgr32.dll"
0x7ffef8fe0000,"C:\WINDOWS\SYSTEM32\WINHTTP.dll"
0x7ffeed960000,"C:\WINDOWS\system32\wscapi.dll"
0x7ffee1960000,"C:\WINDOWS\system32\Tdh.dll"
0x7fff01dd0000,"C:\WINDOWS\SYSTEM32\SHLWAPI.dll"
0x7fff002f0000,"C:\WINDOWS\SYSTEM32\profapi.dll"
0x7ffeff9b0000,"C:\WINDOWS\SYSTEM32\CRYPTSP.dll"
0x7ffeff0c0000,"C:\WINDOWS\system32\rsaenh.dll"
0x7ffeff9d0000,"C:\WINDOWS\SYSTEM32\CRYPTBASE.dll"
0x7fff030c0000,"C:\WINDOWS\SYSTEM32\imagehlp.dll"
0x7ffef4b50000,"C:\WINDOWS\system32\amsiproxy.dll"
0x7ffefab60000,"C:\WINDOWS\System32\netprofm.dll"
0x7ffef7f30000,"C:\WINDOWS\System32\npmproxy.dll"
0x7ffedf7b0000,"C:\WINDOWS\SYSTEM32\webio.dll"
0x7ffeff6d0000,"C:\WINDOWS\system32\mswsock.dll"
0x7ffefeb60000,"C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL"
0x7ffefb650000,"C:\WINDOWS\SYSTEM32\WINNSI.DLL"
0x7fff02d00000,"C:\WINDOWS\SYSTEM32\NSI.dll"
0x7ffefeba0000,"C:\WINDOWS\SYSTEM32\DNSAPI.dll"
0x7ffeff4d0000,"C:\WINDOWS\SYSTEM32\DSPARSE.dll"
0x7ffee2d70000,"C:\Windows\System32\rasadhlp.dll"
0x7ffefef90000,"C:\WINDOWS\system32\schannel.DLL"
0x7ffeffbd0000,"C:\WINDOWS\SYSTEM32\ncrypt.dll"
0x7ffeffb80000,"C:\WINDOWS\SYSTEM32\NTASN1.dll"
0x7ffef6340000,"C:\WINDOWS\system32\ncryptsslp.dll"
0x7ffef5fd0000,"C:\WINDOWS\SYSTEM32\cryptnet.dll"
0x7ffe62890000,"C:\WINDOWS\system32\wscproxystub.dll"
0x7ffefaf80000,"C:\Windows\System32\taskschd.dll"
0x7ffee23d0000,"C:\Windows\System32\XmlLite.dll"
0x7ffe63020000,"C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{1EA82F4E-F8FA-4FCD-8020-BA91C101F057}\mpengine.dll"
0x7ffe628a0000,"C:\Windows\System32\SecurityCenterBrokerPS.dll"
0x7ffefd5e0000,"C:\WINDOWS\system32\secur32.dll"
0x7ffefdb40000,"C:\WINDOWS\system32\Wtsapi32.dll"
0x7fff00180000,"C:\WINDOWS\system32\WINSTA.dll"
